"Approach","Data_Size","Cores","Time_Sec","Memory_MB"
"SingleCore",10000,1,0.0165979862213135,0
"SingleCore",1000000,1,1.44507503509521,0
"parLapply",10000,2,0.0184438228607178,0.01
"parLapply",1000000,2,1.44982814788818,0.01
"parLapply",10000,4,0.0181491374969482,0.02
"parLapply",1000000,4,1.34999799728394,0.02
"foreach_doParallel",10000,2,0.0535309314727783,0.01
"foreach_doParallel",1000000,2,1.38663601875305,0.01
"foreach_doParallel",10000,4,0.0657060146331787,0.02
"foreach_doParallel",1000000,4,1.37702488899231,0.02
"future_lapply",10000,2,0.0679359436035156,0.01
"future_lapply",1000000,2,2.87870502471924,0.01
"future_lapply",10000,4,0.0994770526885986,0.02
"future_lapply",1000000,4,5.81805086135864,0.02
