sigma_epsilon,sigma_effect,RMSE_cf,RMSE_did
0.01,0.01,0.011650921515332693,0.010056106770110321
0.01,0.1,0.1036893111732734,0.10276843589625138
0.01,0.5,0.5086257468246315,0.5084384452985043
0.01,1,1.013893939566512,1.0132399668003147
0.01,2,2.014470312393421,2.0129662168942555
0.01,3.5,3.5126183959601165,3.5110095672104724
0.01,5,4.86420763117396,4.8629930483134585
0.1,0.01,0.010067950662196349,0.010064097685913655
0.1,0.1,0.09839071115868421,0.09835442578327731
0.1,0.5,0.5021751398496505,0.5019976260511715
0.1,1,1.0071836752573746,1.0068692401664177
0.1,2,1.9931961994990821,1.9928493952617559
0.1,3.5,3.4654900659390777,3.4634792735970614
0.1,5,4.960001391831108,4.9583705332146595
0.5,0.01,0.017263003938867965,0.01769644079517269
0.5,0.1,0.10239768504018984,0.1025675237971668
0.5,0.5,0.49327466508381035,0.4930105560611864
0.5,1,0.9992633084820352,0.9989486844899129
0.5,2,2.0131700957271077,2.0124887779667757
0.5,3.5,3.4630888130736412,3.4628947100722596
0.5,5,5.0516556030217625,5.049972333009987
1,0.01,0.014407529387419175,0.011681634679513164
1,0.1,0.10204832939483878,0.10087706668768881
1,0.5,0.4920908623984744,0.4918845996253183
1,1,0.9966051930018109,0.9961547420726854
1,2,2.038354232181989,2.0375662912256916
1,3.5,3.471537593143045,3.4704534613018763
1,5,4.914074427491916,4.912353688364287
2,0.01,0.09816937244162736,0.09995461585537563
2,0.1,0.14298112567916224,0.1397535798447782
2,0.5,0.5037978493548882,0.5050448457188705
2,1,1.0269469304505092,1.0259123560754804
2,2,1.9711184452385664,1.970138185932392
2,3.5,3.497924253093186,3.4991215530282895
2,5,5.046379478407335,5.043616708542799
3.5,0.01,0.08794066078176677,0.140652505586371
3.5,0.1,0.13276824866602197,0.1722965999441204
3.5,0.5,0.6410666225783206,0.5278342678129477
3.5,1,1.0164379176347442,1.0221327390139288
3.5,2,1.9853824984122055,1.9870244808541957
3.5,3.5,3.5540045986403226,3.5549163809649555
3.5,5,5.009602526576628,5.010079019999426
5,0.01,0.6633038232983457,0.011582515590474822
5,0.1,0.6615968638308218,0.09866733920855249
5,0.5,0.7568390866807155,0.4986598532287434
5,1,1.1353033101994607,0.9697578725755752
5,2,2.030323076391759,2.028996669528342
5,3.5,3.478015641980376,3.4415544256077406
5,5,5.07382795875834,5.069872650905005
