activity_name,group_type,time_from,avg_avg
Deleted Photos,Control,-3,0.0457691212629701
Deleted Photos,Control,-2,0.0379044225263157
Deleted Photos,Control,-1,0.0305555463098766
Deleted Photos,Control,0,0.0273665188921465
Deleted Photos,Control,1,0.0246565696701166
Deleted Photos,Control,2,0.0282896379656129
Deleted Photos,Control,3,0.0286003432252714
Deleted Photos,Treatment,-3,0.0456415942978603
Deleted Photos,Treatment,-2,0.0376557326907168
Deleted Photos,Treatment,-1,0.0324515286998057
Deleted Photos,Treatment,0,0.0279639664988473
Deleted Photos,Treatment,1,0.0528443432252181
Deleted Photos,Treatment,2,0.0191829592683493
Deleted Photos,Treatment,3,0.0149971395807266
Searches,Control,-3,0.352899282598054
Searches,Control,-2,0.336887818052458
Searches,Control,-1,0.316930548665456
Searches,Control,0,0.302217635038353
Searches,Control,1,0.289600561685627
Searches,Control,2,0.276524020100728
Searches,Control,3,0.266099245160296
Searches,Treatment,-3,0.364929806576525
Searches,Treatment,-2,0.340801170329835
Searches,Treatment,-1,0.328670339339959
Searches,Treatment,0,0.31253069133937
Searches,Treatment,1,0.285298975009677
Searches,Treatment,2,0.242519779940756
Searches,Treatment,3,0.229247031272682
Sent Messages,Control,-3,0.24166668042081
Sent Messages,Control,-2,0.219393703197331
Sent Messages,Control,-1,0.196330828170098
Sent Messages,Control,0,0.183174031641997
Sent Messages,Control,1,0.17309628144356
Sent Messages,Control,2,0.160766454555537
Sent Messages,Control,3,0.152508335839618
Sent Messages,Treatment,-3,0.249922901856176
Sent Messages,Treatment,-2,0.222195354572853
Sent Messages,Treatment,-1,0.20519460848411
Sent Messages,Treatment,0,0.188409596765362
Sent Messages,Treatment,1,0.156688982065436
Sent Messages,Treatment,2,0.133071915649071
Sent Messages,Treatment,3,0.132823519754423
