"cohort","membership_age","num_active","num_users","membership_age_in_breach","activity_name"
0,0,223,1276,27,"Deleted Photos"
0,1,198,1276,27,"Deleted Photos"
0,2,117,1276,27,"Deleted Photos"
0,3,68,1276,27,"Deleted Photos"
0,4,64,1276,27,"Deleted Photos"
0,5,64,1276,27,"Deleted Photos"
0,6,31,1276,27,"Deleted Photos"
0,7,39,1276,27,"Deleted Photos"
0,8,41,1276,27,"Deleted Photos"
0,9,38,1276,27,"Deleted Photos"
0,10,39,1276,27,"Deleted Photos"
0,11,14,1276,27,"Deleted Photos"
0,12,25,1276,27,"Deleted Photos"
0,13,23,1276,27,"Deleted Photos"
0,14,15,1276,27,"Deleted Photos"
0,15,27,1276,27,"Deleted Photos"
0,16,15,1276,27,"Deleted Photos"
0,17,18,1276,27,"Deleted Photos"
0,18,9,1276,27,"Deleted Photos"
0,19,19,1276,27,"Deleted Photos"
0,20,11,1276,27,"Deleted Photos"
0,21,27,1276,27,"Deleted Photos"
0,22,27,1276,27,"Deleted Photos"
0,23,21,1276,27,"Deleted Photos"
0,24,18,1276,27,"Deleted Photos"
0,25,8,1276,27,"Deleted Photos"
0,26,13,1276,27,"Deleted Photos"
0,27,33,1276,27,"Deleted Photos"
0,28,8,1276,27,"Deleted Photos"
0,29,5,1276,27,"Deleted Photos"
1,0,216,1375,26,"Deleted Photos"
1,1,204,1375,26,"Deleted Photos"
1,2,123,1375,26,"Deleted Photos"
1,3,74,1375,26,"Deleted Photos"
1,4,83,1375,26,"Deleted Photos"
1,5,55,1375,26,"Deleted Photos"
1,6,49,1375,26,"Deleted Photos"
1,7,37,1375,26,"Deleted Photos"
1,8,45,1375,26,"Deleted Photos"
1,9,37,1375,26,"Deleted Photos"
1,10,24,1375,26,"Deleted Photos"
1,11,20,1375,26,"Deleted Photos"
1,12,25,1375,26,"Deleted Photos"
1,13,12,1375,26,"Deleted Photos"
1,14,18,1375,26,"Deleted Photos"
1,15,23,1375,26,"Deleted Photos"
1,16,23,1375,26,"Deleted Photos"
1,17,18,1375,26,"Deleted Photos"
1,18,29,1375,26,"Deleted Photos"
1,19,32,1375,26,"Deleted Photos"
1,20,15,1375,26,"Deleted Photos"
1,21,20,1375,26,"Deleted Photos"
1,22,17,1375,26,"Deleted Photos"
1,23,33,1375,26,"Deleted Photos"
1,24,28,1375,26,"Deleted Photos"
1,25,23,1375,26,"Deleted Photos"
1,26,68,1375,26,"Deleted Photos"
1,27,26,1375,26,"Deleted Photos"
1,28,16,1375,26,"Deleted Photos"
2,0,229,1421,25,"Deleted Photos"
2,1,218,1421,25,"Deleted Photos"
2,2,107,1421,25,"Deleted Photos"
2,3,89,1421,25,"Deleted Photos"
2,4,83,1421,25,"Deleted Photos"
2,5,64,1421,25,"Deleted Photos"
2,6,59,1421,25,"Deleted Photos"
2,7,37,1421,25,"Deleted Photos"
2,8,35,1421,25,"Deleted Photos"
2,9,37,1421,25,"Deleted Photos"
2,10,33,1421,25,"Deleted Photos"
2,11,33,1421,25,"Deleted Photos"
2,12,24,1421,25,"Deleted Photos"
2,13,15,1421,25,"Deleted Photos"
2,14,22,1421,25,"Deleted Photos"
2,15,26,1421,25,"Deleted Photos"
2,16,32,1421,25,"Deleted Photos"
2,17,16,1421,25,"Deleted Photos"
2,18,18,1421,25,"Deleted Photos"
2,19,21,1421,25,"Deleted Photos"
2,20,18,1421,25,"Deleted Photos"
2,21,23,1421,25,"Deleted Photos"
2,22,17,1421,25,"Deleted Photos"
2,23,25,1421,25,"Deleted Photos"
2,24,14,1421,25,"Deleted Photos"
2,25,42,1421,25,"Deleted Photos"
