company_id,company_source,month_id,m_after,month_join_id,join_lag,m_log_rev_usd
1,1,1,0,12,-11,7.0197678
1,1,2,0,12,-10,7.6059856
1,1,3,0,12,-9,7.7064123
1,1,4,0,12,-8,7.8654785
1,1,5,0,12,-7,7.8893132
1,1,6,0,12,-6,7.683001
1,1,7,0,12,-5,8.1665106
1,1,8,0,12,-4,8.3068628
1,1,9,0,12,-3,8.3966789
1,1,10,0,12,-2,8.1953335
1,1,11,0,12,-1,8.3805285
1,1,12,1,12,0,8.3365164
1,1,13,1,12,1,8.4269896
1,1,14,1,12,2,8.6034966
1,1,15,1,12,3,8.8109808
1,1,16,1,12,4,8.5776873
1,1,17,1,12,5,8.7577801
1,1,18,1,12,6,8.4090242
1,1,19,1,12,7,8.7289143
1,1,20,1,12,8,8.6930923
1,1,21,1,12,9,8.4960346
1,1,22,1,12,10,8.5512428
1,1,23,1,12,11,8.4281473
1,1,24,1,12,12,8.3777618
2,2,1,0,24,-23,8.1207466
2,2,2,0,24,-22,8.221384
2,2,3,0,24,-21,8.5273447
2,2,4,0,24,-20,8.3876534
2,2,5,0,24,-19,8.3585758
2,2,6,0,24,-18,8.3910561
2,2,7,0,24,-17,8.0962276
2,2,8,0,24,-16,7.9109282
2,2,9,0,24,-15,8.1851788
2,2,10,0,24,-14,7.9640675
2,2,11,0,24,-13,7.944324
2,2,12,0,24,-12,8.212162
2,2,13,0,24,-11,8.3262873
2,2,14,0,24,-10,8.1246462
2,2,15,0,24,-9,8.7231016
2,2,16,0,24,-8,8.5470037
2,2,17,0,24,-7,8.7054834
2,2,18,0,24,-6,8.626214
2,2,19,0,24,-5,8.5187721
2,2,20,0,24,-4,8.2252607
2,2,21,0,24,-3,8.1734695
2,2,22,0,24,-2,8.0638895
2,2,23,0,24,-1,7.8909211
2,2,24,1,24,0,8.334445
3,3,1,0,19,-18,8.6956205
3,3,2,0,19,-17,8.6750917
3,3,3,0,19,-16,8.595211
3,3,4,0,19,-15,8.7022219
3,3,5,0,19,-14,8.6901236
3,3,6,0,19,-13,8.2599621
3,3,7,0,19,-12,8.5275574
3,3,8,0,19,-11,8.4298658
3,3,9,0,19,-10,8.679472
3,3,10,0,19,-9,8.53514
3,3,11,0,19,-8,8.5480499
3,3,12,0,19,-7,8.5863352
3,3,13,0,19,-6,8.4050198
3,3,14,0,19,-5,8.551877
3,3,15,0,19,-4,8.738059
3,3,16,0,19,-3,8.5780182
3,3,17,0,19,-2,8.5650072
3,3,18,0,19,-1,8.1457767
3,3,19,1,19,0,8.628417
3,3,20,1,19,1,8.6192102
3,3,21,1,19,2,8.6044521
3,3,22,1,19,3,8.5258274
3,3,23,1,19,4,8.7460537
3,3,24,1,19,5,8.6607141
4,4,1,0,7,-6,7.1198564
4,4,2,0,7,-5,7.2798519
4,4,3,0,7,-4,7.4135184
4,4,4,0,7,-3,7.4935141
4,4,5,0,7,-2,8.1663036
4,4,6,0,7,-1,7.8881679
4,4,7,1,7,0,7.6220808
4,4,8,1,7,1,7.9956241
4,4,9,1,7,2,8.1994581
4,4,10,1,7,3,7.2674532
4,4,11,1,7,4,7.5661674
4,4,12,1,7,5,7.1709619
4,4,13,1,7,6,7.4188046
4,4,14,1,7,7,8.5076504
4,4,15,1,7,8,7.2031035
4,4,16,1,7,9,7.0711207
4,4,17,1,7,10,7.7497954
4,4,18,1,7,11,6.6746116
4,4,19,1,7,12,8.8499413
4,4,20,1,7,13,8.4385443
4,4,21,1,7,14,7.5517306
4,4,22,1,7,15,7.1210985
4,4,23,1,7,16,7.8694248
4,4,24,1,7,17,7.7321129
5,5,1,0,7,-6,4.8470654
5,5,2,0,7,-5,5.5613575
5,5,3,0,7,-4,5.3889923
5,5,4,0,7,-3,5.34128
5,5,5,0,7,-2,5.9359651
5,5,6,0,7,-1,6.8151517
5,5,7,1,7,0,7.4701662
5,5,8,1,7,1,7.7456012
5,5,9,1,7,2,7.7051582
5,5,10,1,7,3,7.8064661
5,5,11,1,7,4,7.7847056
5,5,12,1,7,5,7.8875675
5,5,13,1,7,6,7.7985029
5,5,14,1,7,7,8.0891657
5,5,15,1,7,8,8.3290768
5,5,16,1,7,9,8.4561014
5,5,17,1,7,10,8.4086342
5,5,18,1,7,11,8.3775969
5,5,19,1,7,12,8.5397367
5,5,20,1,7,13,8.6863461
5,5,21,1,7,14,8.6848392
5,5,22,1,7,15,9.0124083
5,5,23,1,7,16,9.0322065
5,5,24,1,7,17,8.6830568
6,6,1,0,12,-11,8.8031702
6,6,2,0,12,-10,9.0295496
6,6,3,0,12,-9,8.7581987
6,6,4,0,12,-8,9.0812378
6,6,5,0,12,-7,9.5406771
